filename,gt_shape,gt_dtype,gt_min,gt_max,gt_mean,gt_std,gt_error,lr_shape,lr_dtype,lr_min,lr_max,lr_mean,lr_std,lr_error
000126.npy,"(256, 256)",float32,0.0,1.0,0.30565857733699,0.22723499145720943,,"(128, 128)",float32,-0.010829992592334747,1.3059947490692139,0.3060237020842145,0.23410765873723205,
000127.npy,"(256, 256)",float32,0.0,1.0,0.2941803696408698,0.2284255679839865,,"(128, 128)",float32,-0.0029724412597715855,1.4623925685882568,0.2947754697276963,0.23709345083469216,
000128.npy,"(256, 256)",float32,0.0,1.0,0.5628078706183288,0.1950236748308007,,"(128, 128)",float32,0.00542824063450098,1.5074933767318726,0.5629296854870347,0.2216414400214286,
000129.npy,"(256, 256)",float32,0.0,1.0,0.4345318478424538,0.17278518427010472,,"(128, 128)",float32,0.0011044488055631518,1.343130350112915,0.4347397482913422,0.18822395937211045,
000130.npy,"(256, 256)",float32,0.0,1.0,0.4160434105717101,0.16975446584370776,,"(128, 128)",float32,0.013409226201474667,1.248718023300171,0.4161645378461003,0.18182096933371977,
000131.npy,"(256, 256)",float32,0.0,1.0,0.41446226474571546,0.16984576674371318,,"(128, 128)",float32,0.01273036003112793,1.2448856830596924,0.41428926784317355,0.18028019690992467,
000132.npy,"(256, 256)",float32,0.0,1.0,0.7153736149274366,0.08392298264118533,,"(128, 128)",float32,0.03408508002758026,1.328665018081665,0.7148615007170065,0.14096213032530955,
000133.npy,"(256, 256)",float32,0.0,1.0,0.6008962203518138,0.12343659049314898,,"(128, 128)",float32,0.05750521644949913,1.2725043296813965,0.600737803360289,0.14765987442395193,
000134.npy,"(256, 256)",float32,0.0,1.0,0.2928770456579173,0.064875617740572,,"(128, 128)",float32,0.06571224331855774,1.3027472496032715,0.2953276648490828,0.08622971514209034,
000135.npy,"(256, 256)",float32,0.0,1.0,0.5787246320398367,0.12533522581814102,,"(128, 128)",float32,-0.00927643571048975,1.1690343618392944,0.5779665059487229,0.149073038720498,
000136.npy,"(256, 256)",float32,0.0,1.0,0.24869755013023087,0.23844940912562324,,"(128, 128)",float32,-0.010208205319941044,1.2350163459777832,0.2482261052658714,0.24449810087331972,
000137.npy,"(256, 256)",float32,0.0,1.0,0.1079935154829647,0.10133342635049365,,"(128, 128)",float32,-0.022922979667782784,1.0541446208953857,0.10801876470124738,0.10239236561598625,
000138.npy,"(256, 256)",float32,0.0,1.0,0.10822677764383379,0.10191287866874837,,"(128, 128)",float32,-0.010615795850753784,1.116714596748352,0.10816242497251741,0.10380232763626386,
000139.npy,"(256, 256)",float32,0.0,1.0,0.09737902650219046,0.09659124255951099,,"(128, 128)",float32,-0.01793229766190052,1.1966782808303833,0.09761462319399594,0.09979790852230487,
000140.npy,"(256, 256)",float32,0.0,1.0,0.46188099622165435,0.23706785411347706,,"(128, 128)",float32,-0.07921799272298813,1.378166675567627,0.4616756535198565,0.254323435445536,
000141.npy,"(256, 256)",float32,0.0,1.0,0.4705213575977334,0.2518211541341689,,"(128, 128)",float32,-0.017706871032714844,1.480031967163086,0.47047865145550816,0.2645019622115854,
000142.npy,"(256, 256)",float32,0.0,1.0,0.4868512623988046,0.24783591465296095,,"(128, 128)",float32,-0.021486787125468254,1.5500537157058716,0.48608113730242053,0.26045622184167544,
000143.npy,"(256, 256)",float32,0.0,1.0,0.4673799761854003,0.2501665599799114,,"(128, 128)",float32,-0.015824386849999428,1.5296210050582886,0.46831417520301954,0.2668869923908539,
